quote_id,current_premium,target_premium with e-delivery,policy_term_tenure,source_premium,uncapped percent change,target_premium,Premium for use with LRs,Prior Term Rate Increase Ratio,Rounded Prior Term Rate Increase,,,,
00055fc0-ef0d-4e24-b686-d66613667b9e,1175,"1,588",1,1177,35.15%,1461,1279.347826,,#NAME?,,,,
0006a3ab-8057-45f3-8359-1518fc8f83d7,1194,"1,682",5,1256,40.87%,1682,1256,1.189243028,#NAME?,,,,
0019839c-89f0-46d0-9186-e70cd394c327,1107,"1,214",2,1107,9.67%,1214,1107,0.84375,#NAME?,,,,
001f09f7-bbfc-459d-b5f5-a078c4a55a59,1021,"1,996",2,1293,95.49%,1996,1293,1.307490145,#NAME?,,,,
003f61b7-478f-4328-9f2d-37edf1c19515,714,"1,013",2,736,41.88%,1013,736,1.073280722,#NAME?,,,,
00518d67-bdae-4c68-a850-c28a3272e2d2,1519,"1,967",1,1519,29.52%,1810,1651.086957,,#NAME?,,,,
0053ae0c-7701-4b03-822c-2bb935b8b91f,1480,"1,547",4,1418,4.53%,1547,1418,1.079504012,#NAME?,,,,
00585a41-5483-41e8-9cfd-f3bd3cb10cd0,768,"1,166",2,793,51.82%,1166,793,0.912114014,#NAME?,,,,
005a7602-6960-4135-96b2-528eca493018,1766,"2,417",2,1886,36.86%,2417,1886,1.202108963,#NAME?,,,,
006558eb-4d2f-4778-a2a5-9f1c2a9140bd,1555,"1,957",1,1555,25.82%,1800,1690.217391,,#NAME?,,,,
006865c7-331d-49f7-be89-0dab9f435d88,1250,"1,806",6,1298,44.48%,1806,1298,0.932835821,#NAME?,,,,
006a66c1-d13c-4c68-8da1-c48bb0cdb7c6,409,608,1,424,48.56%,559,460.8695652,,#NAME?,,,,
006bea60-1b15-47a4-a1f7-82de78910fb4,1260,"1,721",1,1260,36.56%,1583,1369.565217,,#NAME?,,,,
007c474b-4a81-47b5-93b7-782f9bd65e88,986,"1,195",1,986,21.15%,1099,1071.73913,,#NAME?,,,,
