"","multiplicative_rate_change","absolute_rate_change","lr_modifier"
"1",0,-1,0.908441786787252
"2",0.1,-0.9,0.914060283806958
"3",0.2,-0.8,0.919713529898337
"4",0.3,-0.7,0.925401739976157
"5",0.4,-0.6,0.931125561690139
"6",0.5,-0.5,0.936915634789137
"7",0.6,-0.4,0.942840181463096
"8",0.7,-0.3,0.948969430988331
"9",0.8,-0.2,0.955375479212201
"10",0.9,-0.1,0.962132466381755
"11",1,0,0.969354903777947
"12",1.1,0.1,0.977415790325008
"13",1.2,0.2,0.986806482274437
"14",1.3,0.3,0.998040995452746
"15",1.4,0.4,1.01166366580059
"16",1.5,0.5,1.02824405448829
"17",1.6,0.6,1.04796797500476
"18",1.7,0.7,1.07056644408051
"19",1.8,0.8,1.09573408346262
"20",1.9,0.9,1.12314224024081
"21",2,1,1.15242991728872
